State,Area_name,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
CA,"Marin County, CA","139,858","136,433","3,425",2.4,"122,933",163.4
CA,"Mariposa County, CA","7,659","7,248",411,5.4,"51,402",68.3
CA,"Mendocino County, CA","39,500","37,913","1,587",4.0,"51,386",68.3
CA,"Merced County, CA","115,380","105,638","9,742",8.4,"56,169",74.6
CA,"Modoc County, CA","3,159","2,919",240,7.6,"45,227",60.1
CA,"Mono County, CA","8,435","8,092",343,4.1,"66,499",88.4
CA,"Monterey County, CA","222,156","207,917","14,239",6.4,"69,665",92.6
CA,"Napa County, CA","73,861","71,664","2,197",3.0,"85,624",113.8
CA,"Nevada County, CA","48,618","46,904","1,714",3.5,"66,681",88.6
CA,"Orange County, CA","1,617,879","1,569,753","48,126",3.0,"89,373",118.8
CA,"Placer County, CA","185,830","179,858","5,972",3.2,"89,175",118.5
CA,"Plumas County, CA","7,823","7,228",595,7.6,"55,079",73.2
CA,"Riverside County, CA","1,091,375","1,042,673","48,702",4.5,"66,793",88.8
CA,"Sacramento County, CA","704,967","677,544","27,423",3.9,"69,475",92.3
CA,"San Benito County, CA","31,236","29,644","1,592",5.1,"80,063",106.4
CA,"San Bernardino County, CA","956,083","916,705","39,378",4.1,"63,310",84.1
CA,"San Diego County, CA","1,581,525","1,528,064","53,461",3.4,"78,777",104.7
CA,"San Francisco County/city, CA","569,323","555,609","13,714",2.4,"110,601",147.0
CA,"San Joaquin County, CA","324,531","304,620","19,911",6.1,"63,567",84.5
CA,"San Luis Obispo County, CA","140,257","136,020","4,237",3.0,"70,626",93.9
CA,"San Mateo County, CA","449,479","439,322","10,157",2.3,"122,930",163.4
CA,"Santa Barbara County, CA","215,479","206,909","8,570",4.0,"75,646",100.5
CA,"Santa Clara County, CA","1,043,641","1,015,929","27,712",2.7,"125,933",167.4
CA,"Santa Cruz County, CA","141,429","134,349","7,080",5.0,"84,213",111.9
CA,"Shasta County, CA","73,978","70,254","3,724",5.0,"53,908",71.6
CA,"Sierra County, CA","1,279","1,201",78,6.1,"52,308",69.5
CA,"Siskiyou County, CA","17,383","16,205","1,178",6.8,"47,560",63.2
CA,"Solano County, CA","209,280","200,997","8,283",4.0,"82,808",110.0
CA,"Sonoma County, CA","260,893","253,626","7,267",2.8,"81,002",107.6
CA,"Stanislaus County, CA","243,356","227,524","15,832",6.5,"59,616",79.2
CA,"Sutter County, CA","44,890","41,449","3,441",7.7,"57,879",76.9
CA,"Tehama County, CA","25,517","24,046","1,471",5.8,"47,572",63.2
CA,"Trinity County, CA","4,680","4,410",270,5.8,"40,680",54.1
CA,"Tulare County, CA","203,267","183,303","19,964",9.8,"48,763",64.8
CA,"Tuolumne County, CA","21,212","20,217",995,4.7,"56,500",75.1
CA,"Ventura County, CA","423,557","407,278","16,279",3.8,"84,170",111.9
CA,"Yolo County, CA","107,666","103,019","4,647",4.3,"67,804",90.1
CA,"Yuba County, CA","29,275","27,381","1,894",6.5,"47,504",63.1
CO,Colorado,"3,080,661","2,983,498","97,163",3.2,"71,949",100.0
CO,"Adams County, CO","269,228","260,239","8,989",3.3,"70,199",97.6
CO,"Alamosa County, CO","8,566","8,232",334,3.9,"42,897",59.6
CO,"Arapahoe County, CO","360,142","349,003","11,139",3.1,"76,665",106.6
